Report Written :   Monday, December 30, 2013  15:59,,,,,,
Project Path   :   C:\Users\Wiggins Desktop\Documents\Lee\Electronics\Dummy Load\Design Spark\Dummy Load.prj,,,,,,,,
Design Path    :   C:\Users\Wiggins Desktop\Documents\Lee\Electronics\Dummy Load\Design Spark\Dummy Load.pcb,,,,,,,,
Design Title   :,,,,,,,,
Created        :   3/12/2013 9:34:27 PM,,,,,,,,
Last Saved     :   16/12/2013 11:48:44 AM,,,,,,,,
Editing Time   :   9078 min,,,,,,,,
Units          :   mm (precision 3),,,,,,,,
,,,,,,,,
Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
,,,,,,,,
Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,RS Part Number,Description
D1,1,1N4001,,DIOD05,,,,
D2,1,1N4001,,DIOD05,,,,
L1,1,74279206-Ferrite Bead,,805,,,,
U1,1,ADR380ARTZ,,SOT23,,,,
XTAL1,1,AT-16.000MAGE-T,,HC-49S,,,,
U8,1,ATmega32U4-AU,,TQFP44,,,,
M1,1,BUK954R8-60E,,DSC,,,,
C6,1,Cap,1uF,805,,,,Capacitor
C19,1,Cap,1uF,805,,,,Capacitor
C2,1,Cap,2.2uF,805,,,,Capacitor
C3,1,Cap,22n,805,,,,Capacitor
C20,1,Cap,22p,805,,,,Capacitor
C21,1,Cap,22p,805,,,,Capacitor
C1,1,Cap,100n,805,,,,Capacitor
C4,1,Cap,100n,805,,,,Capacitor
C5,1,Cap,100n,805,,,,Capacitor
C9,1,Cap,100n,805,,,,Capacitor
C10,1,Cap,100n,805,,,,Capacitor
C11,1,Cap,100n,805,,,,Capacitor
C12,1,Cap,100n,805,,,,Capacitor
C15,1,Cap,100n,805,,,,Capacitor
C16,1,Cap,100n,805,,,,Capacitor
C8,1,Cap,100nF,805,,,,Capacitor
C13,1,Cap,100nF,805,,,,Capacitor
C17,1,Cap,100nF,805,,,,Capacitor
C7,1,Capacritor_Pol,10uF,C1206POL,,,,
C14,1,Capacritor_Pol,10uF,C1206POL,,,,
C18,1,Capacritor_Pol,10uF,C1206POL,,,,
D3,1,CD1206-S01575,,D1206,,,,
Z1,1,CG0603MLC-05E,,603,,,,
Z2,1,CG0603MLC-05E,,603,,,,
PL1,1,CONN_SIL_2,,DSC,,,,2 way Pin Header
PL2,1,CONN_SIL_2,,DSC,,,,2 way Pin Header
FAN1,1,EB50100S2-0000-A99,,DIL,,,,
RL1,1,G6RN-1 5DC,,DIL,,,,
LCD1,1,HD44780 20x4 LCD,,DIL,,,,
CONN1,1,ICSP-6,,DIL,,,,
LED3,1,LED,Pwr Green,D0805,,,,Light Em Di
LED2,1,LED,RX Green,D0805,,,,Light Em Di
LED1,1,LED,TX Red,D0805,,,,Light Em Di
U2,1,LM324,,SO14,,,,Quad Op Amp
U6,1,LM94022BIMG,,MAA05A,,,,
U7,1,LM94022BIMG,,MAA05A,,,,
U3,1,MCP3204-CI/SL,,SOIC14-N_MC,,,,
U4,1,MCP4922-E/SL,,SOIC14-N_MC,,,,
FS1,1,MF-MSMF050-2,500mA,1812,,,,
U5,1,P2N2222,,TO92,,,,
SW1,1,Pushbutton,,DISC,,,,
R16,1,Resistor,1K,805,,,,Resistor
R1,1,Resistor,1R0,2512,,,,Resistor
R2,1,Resistor,1R0,2512,,,,Resistor
R3,1,Resistor,1R0,2512,,,,Resistor
R4,1,Resistor,1R0,2512,,,,Resistor
R5,1,Resistor,1R0,2512,,,,Resistor
R6,1,Resistor,1R0,2512,,,,Resistor
R7,1,Resistor,1R0,2512,,,,Resistor
R8,1,Resistor,1R0,2512,,,,Resistor
R9,1,Resistor,1R0,2512,,,,Resistor
R10,1,Resistor,1R0,2512,,,,Resistor
R14,1,Resistor,2R2,805,,,,Resistor
R12,1,Resistor,10K,805,,,,Resistor
R13,1,Resistor,10K,805,,,,Resistor
R17,1,Resistor,10K,805,,,,Resistor
R19,1,Resistor,10K,805,,,,Resistor
R20,1,Resistor,10K,805,,,,Resistor
R21,1,Resistor,10K,805,,,,Resistor
R22,1,Resistor,10K,805,,,,Resistor
R26,1,Resistor,10K,805,,,,Resistor
R30,1,Resistor,10K,805,,,,Resistor
R32,1,Resistor,10K,805,,,,Resistor
R18,1,Resistor,15K,805,,,,Resistor
R23,1,Resistor,22R,805,,,,Resistor
R24,1,Resistor,22R,805,,,,Resistor
R11,1,Resistor,220k,805,,,,Resistor
R15,1,Resistor,470R,805,,,,Resistor
R27,1,Resistor,470R,805,,,,Resistor
R28,1,Resistor,470R,805,,,,Resistor
R29,1,Resistor,470R,805,,,,Resistor
R25,1,Resistor,560R,805,,,,Resistor
ENC1,1,ROTARY-ENCV,,DIP-5,,,,
R31,1,R_POT,10k,pot2,,,,Potentiometer
J1,1,USB-B,,DIL,,,,
